from,to,relationship
uvl,500,1
uvl,CDU,2
lk,500,1
lk,SPD,2
nr,500,1
nr,CDU,2
sw,500,1
sw,LINKE,2
cs,500,1
cs,Experte,2
cl,501,1
cl,FDP,2
ks,501,1
ks,Experte,2
lm,501,1
lm,Experte,2
kd,501,1
kd,Journalist,2
el,501,1
el,Präsident,2
ab,502,1
ab,GRÜNE,2
ft,502,1
ft,EU,2
am,502,1
am,Ukraine,2
agl,502,1
agl,FDP,2
er,502,1
er,Experte,2
rh,503,1
rh,GRÜNE,2
lk,503,1
lk,SPD,2
cm,503,1
cm,Experte,2
kp,503,1
kp,Journalist,2
rk,503,1
rk,CDU,2
